producto_inei,unidad_medida,año_mes,precio_soles
MAIZ MORADO,KILOGRAMO,2024-10,4.57
MAIZ MORADO,KILOGRAMO,2024-11,4.54
MAIZ MORADO,KILOGRAMO,2024-12,4.53
MAIZ MORADO,KILOGRAMO,2025-01,4.48
MAIZ MORADO,KILOGRAMO,2025-02,4.44
MAIZ MORADO,KILOGRAMO,2025-03,4.54
MAIZ MORADO,KILOGRAMO,2025-04,4.59
MAIZ MORADO,KILOGRAMO,2025-05,4.71
MAIZ MORADO,KILOGRAMO,2025-06,5.32
MAIZ MORADO,KILOGRAMO,2025-07,5.6
MAIZ MORADO,KILOGRAMO,2025-08,5.41
MAIZ MORADO,KILOGRAMO,2025-09,5.34
MAIZ MORADO,KILOGRAMO,2025-10,5.33
MAIZ MORADO,KILOGRAMO,2025-11,5.33
MAIZ MORADO,KILOGRAMO,2025-12,5.31
MAIZ MORADO,KILOGRAMO,2026-01,5.34
MAIZ MORADO,KILOGRAMO,2026-02,5.43
MAIZ MORADO,KILOGRAMO,2026-03,5.49
MAIZ MORADO,KILOGRAMO,2026-04,5.76
MAIZ MORADO,KILOGRAMO,2026-05,5.95
MAIZ MORADO,KILOGRAMO,2026-06,5.93
MAIZ MORADO,KILOGRAMO,2026-07,5.6
MAIZ MORADO,KILOGRAMO,2026-08,5.64
OLLUCO LARGO,KILOGRAMO,2023-08,6.64
OLLUCO LARGO,KILOGRAMO,2023-09,6.98
OLLUCO LARGO,KILOGRAMO,2023-10,7.83
OLLUCO LARGO,KILOGRAMO,2023-11,8.02
OLLUCO LARGO,KILOGRAMO,2023-12,8.13
OLLUCO LARGO,KILOGRAMO,2024-01,8.29
OLLUCO LARGO,KILOGRAMO,2024-02,7.75
OLLUCO LARGO,KILOGRAMO,2024-03,7.02
OLLUCO LARGO,KILOGRAMO,2024-04,6.27
OLLUCO LARGO,KILOGRAMO,2024-05,5.61
OLLUCO LARGO,KILOGRAMO,2024-06,5.46
OLLUCO LARGO,KILOGRAMO,2024-07,5.35
OLLUCO LARGO,KILOGRAMO,2024-08,5.28
OLLUCO LARGO,KILOGRAMO,2024-09,5.11
OLLUCO LARGO,KILOGRAMO,2024-10,5.08
OLLUCO LARGO,KILOGRAMO,2024-11,4.99
OLLUCO LARGO,KILOGRAMO,2024-12,5.21
OLLUCO LARGO,KILOGRAMO,2025-01,6.03
OLLUCO LARGO,KILOGRAMO,2025-02,6.29
OLLUCO LARGO,KILOGRAMO,2025-03,5.95
OLLUCO LARGO,KILOGRAMO,2025-04,5.98
OLLUCO LARGO,KILOGRAMO,2025-05,5.57
OLLUCO LARGO,KILOGRAMO,2025-06,5.41
OLLUCO LARGO,KILOGRAMO,2025-07,5.38
OLLUCO LARGO,KILOGRAMO,2025-08,5.31
OLLUCO LARGO,KILOGRAMO,2025-09,5.25
OLLUCO LARGO,KILOGRAMO,2025-10,5.25
OLLUCO LARGO,KILOGRAMO,2025-11,5.27
OLLUCO LARGO,KILOGRAMO,2025-12,5.33
OLLUCO LARGO,KILOGRAMO,2026-01,5.47
OLLUCO LARGO,KILOGRAMO,2026-02,5.59
OLLUCO LARGO,KILOGRAMO,2026-03,5.83
OLLUCO LARGO,KILOGRAMO,2026-04,5.89
OLLUCO LARGO,KILOGRAMO,2026-05,5.85
OLLUCO LARGO,KILOGRAMO,2026-06,5.78
OLLUCO LARGO,KILOGRAMO,2026-07,5.76
OLLUCO LARGO,KILOGRAMO,2026-08,5.92
PAPA AMARILLA,KILOGRAMO,2023-08,4.45
PAPA AMARILLA,KILOGRAMO,2023-09,5.39
PAPA AMARILLA,KILOGRAMO,2023-10,6.23
PAPA AMARILLA,KILOGRAMO,2023-11,6.4
PAPA AMARILLA,KILOGRAMO,2023-12,6.62
PAPA AMARILLA,KILOGRAMO,2024-01,6.16
PAPA AMARILLA,KILOGRAMO,2024-02,5.53
PAPA AMARILLA,KILOGRAMO,2024-03,5.18
PAPA AMARILLA,KILOGRAMO,2024-04,4.78
PAPA AMARILLA,KILOGRAMO,2024-05,4.59
PAPA AMARILLA,KILOGRAMO,2024-06,4.95
PAPA AMARILLA,KILOGRAMO,2024-07,5.54
PAPA AMARILLA,KILOGRAMO,2024-08,6.05
PAPA AMARILLA,KILOGRAMO,2024-09,5.82
PAPA AMARILLA,KILOGRAMO,2024-10,5.24
PAPA AMARILLA,KILOGRAMO,2024-11,4.85
PAPA AMARILLA,KILOGRAMO,2024-12,4.61
PAPA AMARILLA,KILOGRAMO,2025-01,5.08
PAPA AMARILLA,KILOGRAMO,2025-02,5.28
PAPA AMARILLA,KILOGRAMO,2025-03,5.22
PAPA AMARILLA,KILOGRAMO,2025-04,5.1
PAPA AMARILLA,KILOGRAMO,2025-05,5.11
PAPA AMARILLA,KILOGRAMO,2025-06,5.12
PAPA AMARILLA,KILOGRAMO,2025-07,5.02
PAPA AMARILLA,KILOGRAMO,2025-08,4.94
PAPA AMARILLA,KILOGRAMO,2025-09,4.84
PAPA AMARILLA,KILOGRAMO,2025-10,4.81
PAPA AMARILLA,KILOGRAMO,2025-11,4.77
PAPA AMARILLA,KILOGRAMO,2025-12,5.05
PAPA AMARILLA,KILOGRAMO,2026-01,5.3
PAPA AMARILLA,KILOGRAMO,2026-02,5.26
PAPA AMARILLA,KILOGRAMO,2026-03,5.6
PAPA AMARILLA,KILOGRAMO,2026-04,5.58
PAPA AMARILLA,KILOGRAMO,2026-05,5.19
PAPA AMARILLA,KILOGRAMO,2026-06,4.99
PAPA AMARILLA,KILOGRAMO,2026-07,4.87
PAPA AMARILLA,KILOGRAMO,2026-08,4.85
PAPA BLANCA,KILOGRAMO,2023-08,2.13
PAPA BLANCA,KILOGRAMO,2023-09,2.09
PAPA BLANCA,KILOGRAMO,2023-10,2.11
PAPA BLANCA,KILOGRAMO,2023-11,2.2
PAPA BLANCA,KILOGRAMO,2023-12,2.43
PAPA BLANCA,KILOGRAMO,2024-01,2.51
PAPA BLANCA,KILOGRAMO,2024-02,2.31
PAPA BLANCA,KILOGRAMO,2024-03,2.2
PAPA BLANCA,KILOGRAMO,2024-04,2.16
PAPA BLANCA,KILOGRAMO,2024-05,2.14
PAPA BLANCA,KILOGRAMO,2024-06,2.18
PAPA BLANCA,KILOGRAMO,2024-07,2.42
PAPA BLANCA,KILOGRAMO,2024-08,2.89
PAPA BLANCA,KILOGRAMO,2024-09,3.18
PAPA BLANCA,KILOGRAMO,2024-10,3.16
PAPA BLANCA,KILOGRAMO,2024-11,2.79
PAPA BLANCA,KILOGRAMO,2024-12,2.49
PAPA BLANCA,KILOGRAMO,2025-01,2.38
PAPA BLANCA,KILOGRAMO,2025-02,2.28
PAPA BLANCA,KILOGRAMO,2025-03,2.25
PAPA BLANCA,KILOGRAMO,2025-04,2.26
PAPA BLANCA,KILOGRAMO,2025-05,2.3
PAPA BLANCA,KILOGRAMO,2025-06,2.3
PAPA BLANCA,KILOGRAMO,2025-07,2.4
PAPA BLANCA,KILOGRAMO,2025-08,2.39
PAPA BLANCA,KILOGRAMO,2025-09,2.42
PAPA BLANCA,KILOGRAMO,2025-10,2.38
PAPA BLANCA,KILOGRAMO,2025-11,2.24
PAPA BLANCA,KILOGRAMO,2025-12,2.23
PAPA BLANCA,KILOGRAMO,2026-01,2.32
PAPA BLANCA,KILOGRAMO,2026-02,2.36
PAPA BLANCA,KILOGRAMO,2026-03,2.95
PAPA BLANCA,KILOGRAMO,2026-04,3.27
PAPA BLANCA,KILOGRAMO,2026-05,3.08
PAPA BLANCA,KILOGRAMO,2026-06,2.86
PAPA BLANCA,KILOGRAMO,2026-07,2.7
PAPA BLANCA,KILOGRAMO,2026-08,2.61
PAPA HUAYRO,KILOGRAMO,2023-08,3.67
PAPA HUAYRO,KILOGRAMO,2023-09,3.98
PAPA HUAYRO,KILOGRAMO,2023-10,4.56
PAPA HUAYRO,KILOGRAMO,2023-11,5.13
PAPA HUAYRO,KILOGRAMO,2023-12,5.47
PAPA HUAYRO,KILOGRAMO,2024-01,5.2
PAPA HUAYRO,KILOGRAMO,2024-02,4.42
PAPA HUAYRO,KILOGRAMO,2024-03,3.99
PAPA HUAYRO,KILOGRAMO,2024-04,3.7
PAPA HUAYRO,KILOGRAMO,2024-05,3.57
PAPA HUAYRO,KILOGRAMO,2024-06,3.69
PAPA HUAYRO,KILOGRAMO,2024-07,3.98
PAPA HUAYRO,KILOGRAMO,2024-08,4.19
PAPA HUAYRO,KILOGRAMO,2024-09,4.29
PAPA HUAYRO,KILOGRAMO,2024-10,4.27
PAPA HUAYRO,KILOGRAMO,2024-11,4.35
PAPA HUAYRO,KILOGRAMO,2024-12,4.38
PAPA HUAYRO,KILOGRAMO,2025-01,4.58
PAPA HUAYRO,KILOGRAMO,2025-02,4.46
PAPA HUAYRO,KILOGRAMO,2025-03,4.23
PAPA HUAYRO,KILOGRAMO,2025-04,4.2
